LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,Growth_AIG,All Students,Growth_American Indian,Growth_Asian,Growth_Black,Growth_ED,Growth_ELL,Growth_Hispanic,Growth_SwD,Growth_MultiRacial,Growth_White
10,Alamance-Burlington Schools,3,0,23,0,0,0,0,18,87,5,53,0,0,4,7,0,200,22579,8.86,0.717142857,0.05,,,-0.021428571,-0.395714286,-0.008,0.998571429,-1.013333333,-0.048333333,-0.758571429
20,Alexander County Schools,0,0,7,1,0,0,0,3,13,0,2,0,0,0,0,0,26,4746,5.48,1.94,-1.51,,,-0.75,-2.45,,-0.96,-0.4,-0.04,-1.27
30,Alleghany County Schools,0,0,0,0,0,0,0,6,4,1,3,0,0,0,0,0,14,1332,10.51,-1.13,-1.96,,,,-1.04,,-0.03,-2.02,,-2.27
40,Anson County Schools,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,11,3148,3.49,-1.885,-2.04,,,-1.54,-1.523333333,,-1.34,-1.9,,-1.855
50,Ashe County Schools,1,0,3,1,0,0,0,0,10,0,2,0,0,0,0,0,17,2946,5.77,-3.59,-9.07,,,,-7.99,-0.68,-2.01,-5.31,,-9.37
60,Avery County Schools,0,0,1,0,0,0,0,2,15,0,4,0,0,0,0,0,22,1910,11.52,0.19,1.95,,,2.06,1.56,-1.12,1.76,-0.74,0.21,-0.19
70,Beaufort County Schools,0,0,0,0,0,0,0,2,17,0,9,0,0,0,0,0,28,6370,4.4,-2.53,-1.575,,,-0.695,-0.945,,0.18,-1.68,-1.01,-1.195
80,Bertie County Schools,0,0,1,0,0,0,0,4,13,0,3,0,0,0,0,0,21,2078,10.11,1.66,-2.71,,,,-1.7,,-1.23,-1.23,,-2.82
90,Bladen County Schools,0,0,0,0,0,0,0,1,7,0,4,0,0,0,0,0,12,4120,2.91,1.283333333,-0.285,,,-0.2975,0.2975,0.4,-0.006666667,0,,-0.81
100,Brunswick County Schools,0,0,16,0,0,0,0,23,15,0,13,0,0,0,0,0,67,12383,5.41,,-0.415,,,-0.63,-0.895,,,-1.45,,0.005
110,Buncombe County Schools,0,0,8,0,0,0,0,19,179,1,29,0,0,0,0,0,236,23460,10.06,0.66,-0.485,,,-0.55,-0.835,,0.225,-0.94,-0.48,0.015
111,Asheville City Schools,0,0,5,0,0,0,0,1,12,0,10,0,0,0,0,0,28,4281,6.54,0.91,0.62,,,-0.34,-0.2925,-0.34,0.125,-1.793333333,0.83,0.52
120,Burke County Schools,0,1,7,1,0,0,0,24,23,0,6,0,0,0,0,0,62,11820,5.25,1.71375,2.367777778,,,0.106666667,0.778888889,1.776666667,1.451428571,-0.148571429,0.4525,2.15
130,Cabarrus County Schools,0,0,8,0,0,0,0,12,46,3,40,0,0,4,0,0,113,32949,3.43,0.1725,0.4775,,0.796666667,-0.78,0.375,0.666666667,0.4675,-0.615,1.245,-0.045
132,Kannapolis City Schools,0,0,1,0,0,0,0,1,10,1,4,0,0,0,0,0,17,5369,3.17,1.0475,2.2725,,2.025,1.55,0.70375,0.54,0.77,-0.904285714,0.788,1.27
140,Caldwell County Schools,0,0,137,0,0,0,0,8,40,0,12,0,0,1,1,0,199,11236,17.71,0.244,-0.02,,,0.255,-0.544,,0.9275,-1.876666667,-0.03,-0.424
150,Camden County Schools,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,1854,2.7,-0.14,-0.285,,,-0.05,-1.48,,,-1.85,,-0.41
160,Carteret County Public Schools,3,0,20,2,1,0,0,5,20,2,11,0,0,1,6,0,71,7986,8.89,3.483333333,8.023333333,,,2.465,4.163333333,1.88,2.805,0.48,1.28,6.803333333
170,Caswell County Schools,0,0,0,0,0,0,0,7,3,0,1,0,0,0,0,0,11,2425,4.54,0.08,-4.4,,,-2.1,-3.71,,-1.14,-0.94,,-3.52
180,Catawba County Schools,0,0,9,0,0,0,0,27,41,0,16,0,0,0,2,0,95,15724,6.04,1.055,1.878333333,,0.904,-1.016666667,0.87,0.0425,0.59,-0.458,0.71,1.128333333
181,Hickory City Schools,0,0,0,1,0,0,0,2,13,1,6,0,0,0,0,0,23,4042,5.69,1.503333333,5.176666667,,2.06,0.68,1.97,2.403333333,2.473333333,0.286666667,0.726666667,3.95
182,Newton Conover City Schools,0,0,0,0,0,0,0,6,7,0,4,0,0,0,0,0,17,2939,5.78,0.371176471,0.844814815,,1.768333333,0.0204,-0.2304,0.846666667,1.235652174,-0.547894737,0.341428571,1.057
190,Chatham County Schools,0,0,4,0,0,0,0,10,26,1,15,0,0,0,0,0,56,8809,6.36,,-1.1175,,1.095,-2.288,-3.275,,-1.125,-1.45,0,0.438
200,Cherokee County Schools,0,0,2,0,0,0,0,11,4,0,0,0,0,0,1,0,18,3113,5.78,0.683333333,0.54,,,-0.015,-0.283333333,-0.98,1.306666667,-0.936666667,0.59,-0.496666667
210,Edenton-Chowan Schools,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,1935,2.58,-1.23,-0.895,,,,-0.2775,,,-0.99,,-0.93
220,Clay County Schools,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,5,1274,3.92,,0.59,,,,-0.93,,,-0.85,,0.59
230,Cleveland County Schools,3,0,13,0,0,0,0,9,80,0,22,0,0,0,1,0,128,14216,9,-0.666,-3.926,,,-3.2275,-3.48,,-1.473333333,-1.9925,-0.5,-2.578
240,Columbus County Schools,0,0,4,0,0,0,0,1,10,0,9,0,0,0,0,0,24,5475,4.38,2.96,0.8,,,-0.05,-1.34,0.58,-0.03,,-1.7,1.93
241,Whiteville City Schools,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,7,2196,3.19,0.133333333,-2.4275,-2.52,,-0.6925,-1.715,,-0.906666667,-0.69,,-2.3825
250,Craven County Schools,0,1,52,0,1,0,0,7,33,1,30,1,0,1,0,0,127,13329,9.53,-0.9675,-2.024,,-0.21,-2.083333333,-1.71,-0.27,-0.18,-2.3,-0.4,-1.72
260,Cumberland County Schools,0,6,132,0,0,0,0,20,152,4,103,0,0,3,0,0,420,49503,8.48,1.092142857,0.758235294,0.97,2.08,0.380588235,0.301176471,-0.185,0.44,-1.838,-0.16,0.359285714
270,Currituck County Schools,0,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0,7,4049,1.73,0.02,2.895,,,-0.88,2.37,,-1.01,-2.03,-0.16,2.75
280,Dare County Schools,0,0,1,0,0,0,0,2,9,0,2,0,0,0,0,0,14,5108,2.74,0.31,2.58,,,0.77,1.42,,1.02,0.435,,2.275
290,Davidson County Schools,4,3,28,1,0,0,0,27,47,3,37,0,0,2,0,0,152,18620,8.16,-0.098571429,-0.121111111,,,-0.056666667,-0.582222222,,0.266666667,-0.424285714,-1.26,-0.2
291,Lexington City Schools,1,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,8,2973,2.69,-2.875,-4.53,,,-2.17,-2.87,-0.71,-1.1,-3.3,0.45,-4.02
292,Thomasville City Schools,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,10,2254,4.44,0.0225,1.051428571,,,0.16,1,0.51,1.254,-0.65,,-0.004
295,Innovative School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,1.53,2.436666667,,1.203333333,1.252222222,1.703333333,0.85,1.444444444,-0.238571429,0.19,0.58
300,Davie County Schools,0,0,4,0,0,0,0,2,2,0,3,0,0,0,0,0,11,6100,1.8,0.35,-0.99,,,0.02,-1.07,,-0.55,0.67,,-0.74
310,Duplin County Schools,0,0,5,0,0,0,0,14,11,0,5,0,0,0,0,0,35,9450,3.7,0.476666667,0.465,,,0.3125,-0.446666667,,0.45,-0.593333333,,-0.723333333
320,Durham Public Schools,0,6,24,2,0,0,0,22,158,4,89,0,0,11,0,0,316,32256,9.8,1.84,2.75,,,,1.3,,2.89,,,1.81
330,Edgecombe County Public Schools,0,0,1,0,0,0,0,0,34,1,22,0,0,0,0,0,58,5753,10.08,0.801111111,0.898333333,,1.148,-0.434166667,-0.015833333,0.497,1.024166667,-0.758181818,0.408888889,0.420909091
340,Winston Salem/Forsyth County Schools,3,2,128,2,2,0,0,49,228,13,109,0,1,4,2,0,543,53475,10.15,-0.495,-0.5075,,,-0.215,-0.8175,,0.2675,-1.04,-0.8,0.01
350,Franklin County Schools,0,0,18,0,0,0,0,3,38,0,29,0,0,0,0,0,88,8061,10.92,0.935555556,2.624545455,,,1.2,1.277272727,0.083333333,1.305,-1.345555556,0.64,1.562727273
360,Gaston County Schools,0,0,4,2,0,0,0,4,45,0,9,0,0,0,0,0,64,30857,2.07,0.79,-3.57,,,-2.79,-3.14,,,-1.4,,-2.64
370,Gates County Schools,0,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,16,1618,9.89,1.1275,1.422,,,-0.394,1.394,2.28,1.796,-0.843333333,,0.832
380,Graham County Schools,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,8,1093,7.32,1.81,5.29,,,2.14,3.815,1.83,3.19,-0.64,,2.38
390,Granville County Schools,0,1,6,0,0,0,0,4,27,3,18,0,0,0,3,0,62,7314,8.48,-1.106818182,0.396538462,,1.14,0.482083333,0.339166667,0.832307692,0.585263158,-0.356,0.014615385,-1.015555556
400,Greene County Schools,0,0,2,0,0,0,0,2,11,0,0,0,0,0,0,0,15,2885,5.2,1.01,0.145,2.31,,-0.385,0.085,,,-1.95,,
410,Guilford County Schools,33,4,69,0,3,0,1,33,311,13,108,0,0,13,10,0,598,71029,8.42,-0.5825,0.474,,,0.368,-0.11,-1.413333333,-0.3175,-0.365,0.42,-0.15
420,Halifax County Schools,0,0,3,0,0,0,0,0,7,0,2,0,0,0,0,0,12,2303,5.21,-0.91,-2.675,,,,-2.4325,-0.56,-0.96,-2.975,,-2.5525
421,Roanoke Rapids City Schools,0,0,0,0,0,0,0,2,4,0,2,0,0,0,2,0,10,2795,3.58,0.356,3.684,,0.73,0.635,2.322,0.175,2.096,-0.6975,1.685,2.54
422,Weldon City Schools,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,799,1.25,0.625,-0.72,,,-0.863333333,-0.473333333,,,-1.72,,-0.175
430,Harnett County Schools,1,0,11,2,0,0,0,10,48,1,25,0,0,0,0,0,98,20097,4.88,-2.88,-3.42,,0.04,-2.03,-2.59,-0.14,-1.02,0.16,0.16,-2.11
440,Haywood County Schools,1,0,3,0,0,0,0,16,32,0,12,0,0,0,0,0,64,7026,9.11,2.675,4.3,0.64,,1.89,3.015,1.63,2.62,-1.12,0.975,2.47
450,Henderson County Schools,0,0,5,0,0,0,0,3,49,0,2,0,0,0,1,0,60,13151,4.56,-0.25,-2.1125,,1.395,-1.486666667,-2.295,-0.5575,-1.382,-1.83,-1.173333333,-1.97
460,Hertford County Schools,0,0,3,0,0,0,0,1,4,0,3,0,0,0,0,0,11,2682,4.1,0.965,0.954,3.32,,,2.285,3.7,2.875,2.88,,1.623333333
470,Hoke County Schools,1,0,9,0,0,0,0,1,23,1,7,0,0,0,0,0,42,8696,4.83,-3.361111111,-7.156666667,,-0.26,-3.47,-4.911111111,-1.71,-2.598888889,-4.464285714,-1.21,-5.817777778
480,Hyde County Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,,-1.77,,,-1.76,-1.48,,,0.84,,-0.39
490,Iredell-Statesville Schools,2,0,11,1,0,0,0,16,54,2,14,0,0,2,2,0,104,20155,5.16,-1.14,-8.05,,,-6.69,-7.11,-2.16,-3.98,-1.42,-0.65,-2.91
491,Mooresville Graded School District,1,0,4,1,0,0,0,12,12,1,3,0,0,1,0,0,35,5966,5.87,-2.213333333,-3.483333333,,,-1.676666667,-2.903333333,-1.445,-1.64,-1.24,-1.425,-3.243333333
500,Jackson County Public Schools,0,0,4,0,0,0,0,0,15,1,3,0,0,0,0,0,23,3584,6.42,-1.426666667,-2.165,,,-2.0325,-2.025,,-0.013333333,-1.726666667,,-1.206666667
510,Johnston County Schools,0,0,12,2,0,0,0,11,68,1,43,0,0,0,0,0,137,36210,3.78,-0.4,-0.83,,0.11,-0.13,-0.33,-0.65,-0.24,-1.23,-0.53,-1.1
520,Jones County Schools,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,6,1007,5.96,-2.0975,-4.75,,,-1.52,-3.49,,-0.435,-1.7725,-0.485,-4.6675
530,Lee County Schools,0,0,32,0,0,0,0,11,57,1,26,0,0,4,7,0,138,9790,14.1,1.23,-1.245,,,,-1.093333333,-0.27,0.08,-1.64,,-1.25
540,Lenoir County Public Schools,0,0,4,0,0,0,0,2,16,0,12,0,0,0,0,0,34,8425,4.04,-0.05,-1.81,,,,-1.835,,,-0.36,,-1.86
550,Lincoln County Schools,0,0,7,0,0,0,0,7,42,0,14,0,0,0,0,0,70,11344,6.17,-1.06,-2.98,,,-2.26,-3.73,,-0.76,-2.56,,-1.37
560,Macon County Schools,0,1,14,0,0,0,0,6,5,0,1,0,0,1,0,0,28,4367,6.41,3.15,3.75,,,1.19,1.976666667,0.71,1.53,0.23,,3.353333333
570,Madison County Schools,0,0,0,1,0,0,0,3,4,0,1,0,0,0,0,0,9,2234,4.03,-2.66,-0.95,,,,-0.02,,-2.27,-1.34,,-1.015
580,Martin County Schools,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,7,2898,2.42,4.64,4.706666667,,,1.086666667,2.716666667,-2.15,1.766666667,0.19,,3.523333333
590,McDowell County Schools,0,0,1,0,0,0,0,11,64,0,6,0,0,0,1,0,83,5871,14.14,-0.003333333,-0.8525,-0.85,,-0.405,-1.4875,0.92,0.206666667,-2.323333333,0.095,0
600,Charlotte-Mecklenburg Schools,0,8,239,0,0,0,0,85,545,22,277,0,0,24,0,0,1200,146661,8.18,2.16,4.83,,0.9,2.18,2.33,1.51,1.82,1.02,1.29,3.43
610,Mitchell County Schools,0,0,0,0,0,0,0,0,8,1,5,0,0,1,0,0,15,1824,8.22,-0.28,-0.22,,,0.26,-0.4,,-0.8,0.11,,0.24
620,Montgomery County Schools,0,0,3,0,0,0,0,5,10,0,4,0,0,0,0,0,22,3786,5.81,-1.022,-4.946,,,-3.676,-4.076,-0.38,-0.1,-2.6875,-0.41,-3.704
630,Moore County Schools,0,0,12,1,0,0,0,4,42,0,19,0,0,1,0,0,79,12668,6.24,-2.006666667,-3.563333333,,-0.21,-1.911666667,-2.941666667,0.46,-0.145,-2.1675,-1.43,-2.91
640,Nash-Rocky Mount Schools,0,0,3,0,0,0,0,1,21,1,9,0,0,0,0,0,35,14763,2.37,0.32,0.69,,,-0.14,0.42,-0.18,2.98,-0.77,-0.74,-0.045
650,New Hanover County Schools,5,1,14,1,0,0,0,2,65,2,17,0,0,10,1,0,118,25512,4.63,,-2.42,,,-2.225,-1.825,,,-1.08,,
660,Northampton County Schools,1,0,2,1,0,0,0,1,5,0,0,0,0,0,0,0,10,1517,6.59,0.01,2.111428571,,0.67,0.36,1.274285714,,1.425714286,-0.505714286,1.02,1.321428571
670,Onslow County Schools,0,0,28,0,0,0,1,10,55,0,22,0,0,7,0,0,123,26410,4.66,1.935,1.406666667,,,0.325,0.213333333,1.615,1.31,-0.513333333,-0.12,2.22
680,Orange County Schools,0,1,24,0,0,0,1,3,15,1,6,1,0,1,8,0,61,7276,8.38,3.12,-1.9,,,-1.68,-2.28,,0.02,-0.71,,-2.45
681,Chapel Hill-Carrboro City Schools,0,0,5,0,0,0,0,6,37,0,9,0,0,1,2,0,60,12296,4.88,-0.365,-5.35,,,-2.415,-4.535,,-1.49,-2.16,,-4.815
690,Pamlico County Schools,0,0,0,0,0,0,0,0,5,0,6,0,0,0,1,0,12,1308,9.17,0.723333333,1.11,,,-0.93,0.413333333,1.43,1.02,-1.545,-0.505,0.643333333
700,Elizabeth City-Pasquotank Public Schools,0,0,0,0,0,0,0,3,2,0,10,0,0,0,0,0,15,5355,2.8,2.72,-1.42,,,-1.01,-3.01,,,-3.16,,0.02
710,Pender County Schools,0,1,2,0,0,0,0,4,18,0,4,0,0,0,0,0,29,9161,3.17,-6.54,-5.97,,,-2.43,-4.02,,0.18,-2.76,-2.43,-5.08
720,Perquimans County Schools,0,0,0,0,0,0,0,7,5,0,9,0,0,0,0,0,21,1607,13.07,-0.04,-0.151428571,,,-0.422857143,-0.601428571,1.505,1.008333333,-0.878333333,-0.585,-0.428571429
730,Person County Schools,0,0,5,0,0,0,0,0,32,0,9,0,0,1,0,0,47,4305,10.92,0.23,-1.045,,,,-0.27,,-0.32,-2.33,,-0.865
740,Pitt County Schools,1,0,30,1,4,0,0,9,57,1,45,0,0,1,0,0,149,23228,6.41,-0.722857143,1.8,,1.98,1.88,1.22,0.9425,2,-0.481666667,0.383333333,0.428571429
750,Polk County Schools,0,0,2,0,0,0,0,8,8,0,2,0,0,0,0,0,20,2100,9.52,,-1.2,,,,-0.42,,,,,-1.23
760,Randolph County School System,0,0,5,0,0,0,0,14,90,1,31,0,0,0,0,0,141,15853,8.89,-3.48,-3.1525,-1.69,,-3.253333333,-3.373333333,-2.73,-3.06,-2.63,-2,-3.96
761,Asheboro City Schools,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,10,4459,2.24,-2.53,-2.745,,,-1.09,-1.885,,-2.17,-1.62,,-2.355
770,Richmond County Schools,0,0,2,0,0,0,0,5,26,0,15,0,0,0,0,0,48,7045,6.81,0.132857143,-0.817142857,-1.18,,-0.926666667,-1.092857143,-0.023333333,0.585,-1.908333333,0.124,-0.865
780,Public Schools of Robeson County,0,0,8,1,1,0,0,10,122,2,14,0,0,0,1,0,159,21487,7.4,-2.734,-3.344,,,-0.962,-2.59,-1.416666667,-1.1,-1.2475,-0.66,-2.59
790,Rockingham County Schools,1,0,14,0,0,0,0,8,52,0,14,0,0,0,0,0,89,11534,7.72,-0.86,-2.07,,,-1.04,-1.545714286,-0.424,-0.54,-0.441666667,-0.765,-1.58
800,Rowan-Salisbury Schools,2,0,2,0,0,0,0,8,78,4,19,0,0,5,0,0,118,18592,6.35,-1.085,0.3175,,,1.19,-0.245,,2.293333333,-0.59,-0.95,-0.315
810,Rutherford County Schools,0,0,3,0,0,0,0,1,11,0,12,0,0,0,0,0,27,7775,3.47,0.01,1.49,,,0.242,1.522,0.13,1.38,-1.156666667,,0.178
820,Sampson County Schools,1,0,1,1,0,0,0,2,23,0,8,0,0,0,0,0,36,7934,4.54,-0.9,-2.46,-1.75,,-3.2,-1.93,,,-3.46,-1.18,-2.015
821,Clinton City Schools,0,0,2,0,0,0,0,1,10,1,5,0,0,0,0,0,19,2936,6.47,0.095,-1.556666667,,,-1.253333333,-1.68,,0.01,-1.8725,2.45,-1.494
830,Scotland County Schools,0,0,5,1,0,0,0,0,15,0,12,0,0,0,0,0,33,5538,5.96,0.64,2.595,,,-0.74,1.99,,0.51,0.516666667,0.15,2.0975
840,Stanly County Schools,0,0,5,0,0,0,0,3,9,0,12,0,0,0,0,0,29,8289,3.5,0.5675,-1.08,,,0.58,-0.92,0.105,-0.555,-1.823333333,,-1.3325
850,Stokes County Schools,0,0,2,0,0,0,0,9,9,0,5,0,0,1,0,0,26,5747,4.52,-0.61,-5.26,-1.2,,,-3.72,,,-2.16,-1.77,-4.53
860,Surry County Schools,0,0,2,0,0,0,0,6,19,0,7,0,0,0,0,0,34,7549,4.5,-1.21,0.645,,,-0.39,-1.02,0.4,1.04,-1.9,,-0.61
861,Elkin City Schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1171,0.85,1.19,-0.306666667,,,-0.22,-0.93,,-0.02,-2.255,1.1,-0.11
862,Mount Airy City Schools,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,4,1611,2.48,,-1.06,,,-0.68,-0.32,,,,,-1
870,Swain County Schools,0,0,4,0,0,0,0,6,8,1,0,0,0,0,0,0,19,1913,9.93,1.686363636,3.866363636,,1.755,0.884,1.167,0.438,1.794545455,-0.485555556,0.538,2.702727273
880,Transylvania County Schools,0,0,3,0,0,0,0,3,10,0,4,0,0,0,0,0,20,3308,6.05,-0.7,-0.815,,,-1.27,-0.415,,0.505,-1.16,,0.48
890,Tyrrell County Schools,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,626,3.19,-1.038076923,-0.79137931,,0.768947368,-0.315555556,-0.993928571,-0.380909091,-0.428846154,-1.045,-0.423181818,-0.954074074
900,Union County Public Schools,0,0,35,1,0,0,0,17,154,3,69,0,0,1,1,0,281,41149,6.83,-0.17,0.03,,,-0.25,-0.776666667,,,-1.78,,-1.59
910,Vance County Schools,0,0,5,0,0,0,0,0,20,1,6,0,0,1,0,0,33,5433,6.07,,1.645,,,1.125,0.29,,,,,
920,Wake County Schools,1,0,72,1,0,0,0,58,411,5,192,0,0,16,0,0,756,159588,4.74,-2.43,0.345,,,,-0.195,,0.86,-1.27,,-0.425
930,Warren County Schools,1,0,1,0,0,0,0,0,12,0,7,0,0,0,1,0,22,1879,11.71,-1.285,-2.961428571,,,-1.982857143,-2.89,-0.563333333,-0.656666667,-1.258333333,-0.445,-1.78
940,Washington County Schools,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1266,1.58,,-2.27,,,-1.9,-1.34,,,,,
950,Watauga County Schools,0,1,0,0,0,0,0,8,25,0,9,0,0,2,0,0,45,4549,9.89,-0.9,-0.87,,,-0.44,-0.77,,-0.59,0.06,0.59,-0.17
960,Wayne County Public Schools,0,0,7,2,0,0,0,7,29,2,26,0,0,0,0,0,73,18039,4.05,0.1,-0.058,,,-1.17,-0.402,,0.01,-1.2425,-1.95,-4.44E-17
970,Wilkes County Schools,1,0,6,0,0,0,0,25,29,0,5,0,0,1,2,0,69,8972,7.69,-0.26,2.15,,,1.33,1.29,0.015,0.89,-0.566666667,,0.8425
980,Wilson County Schools,0,1,11,2,0,0,0,0,39,5,19,0,0,0,0,0,77,11024,6.98,-1.39,-1.113333333,,,,0.113333333,0.49,1,-1.06,,-1.863333333
990,Yadkin County Schools,0,0,1,0,0,0,0,6,22,0,6,0,0,0,5,0,40,5122,7.81,,,,,,,,,,,
995,Yancey County Schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2105,0.48,,,,,,,,,,,